est_dist(m)	true_dist(m)	squared_error(m^2)
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.966	1.600	0.63413	39.633%
0.958	1.600	0.64214	40.134%
0.956	1.600	0.64355	40.222%
1.040	1.600	0.55969	34.981%
1.041	1.600	0.55900	34.937%
1.024	1.600	0.57580	35.988%
1.021	1.600	0.57935	36.209%
0.955	1.600	0.64478	40.299%
1.183	1.600	0.41697	26.061%
1.230	1.600	0.36976	23.110%
1.310	1.600	0.29026	18.141%
1.298	1.600	0.30222	18.889%
1.296	1.600	0.30441	19.026%
1.258	1.600	0.34181	21.363%
1.254	1.600	0.34616	21.635%
1.220	1.600	0.38020	23.762%
1.233	1.600	0.36705	22.940%
1.194	1.600	0.40647	25.404%
1.221	1.600	0.37909	23.693%
1.277	1.600	0.32282	20.176%
1.275	1.600	0.32491	20.307%
1.262	1.600	0.33764	21.102%
1.294	1.600	0.30649	19.156%
1.288	1.600	0.31232	19.520%
1.324	1.600	0.27592	17.245%
1.318	1.600	0.28175	17.610%
1.293	1.600	0.30720	19.200%
1.353	1.600	0.24732	15.458%
1.373	1.600	0.22665	14.166%
1.448	1.600	0.15166	9.479%
1.438	1.600	0.16189	10.118%
1.430	1.600	0.17010	10.631%
1.456	1.600	0.14425	9.016%
1.532	1.600	0.06824	4.265%
1.540	1.600	0.05983	3.739%
1.507	1.600	0.09291	5.807%
1.531	1.600	0.06898	4.311%
1.526	1.600	0.07435	4.647%
1.555	1.600	0.04478	2.799%
1.561	1.600	0.03892	2.432%
1.564	1.600	0.03621	2.263%
1.552	1.600	0.04834	3.021%
1.600	1.600	0.00006	0.004%
1.619	1.600	0.01922	-1.201%
1.603	1.600	0.00339	-0.212%
1.631	1.600	0.03067	-1.917%
1.630	1.600	0.02966	-1.854%
1.637	1.600	0.03660	-2.288%
1.642	1.600	0.04248	-2.655%
1.674	1.600	0.07432	-4.645%
1.667	1.600	0.06717	-4.198%
1.113	1.600	0.48684	30.427%
1.709	1.600	0.10931	-6.832%
1.706	1.600	0.10648	-6.655%
1.127	1.600	0.47260	29.537%
1.700	1.600	0.10016	-6.260%
1.704	1.600	0.10363	-6.477%
1.712	1.600	0.11162	-6.976%
1.715	1.600	0.11471	-7.169%
1.703	1.600	0.10336	-6.460%
1.704	1.600	0.10361	-6.476%
1.688	1.600	0.08793	-5.496%
1.698	1.600	0.09812	-6.133%
1.745	1.600	0.14538	-9.086%
1.750	1.600	0.14950	-9.344%
1.751	1.600	0.15071	-9.419%
1.747	1.600	0.14744	-9.215%
1.756	1.600	0.15613	-9.758%
1.151	1.600	0.44924	28.078%
1.146	1.600	0.45439	28.399%
1.156	1.600	0.44424	27.765%
1.156	1.600	0.44412	27.757%
1.154	1.600	0.44601	27.876%
1.154	1.600	0.44579	27.862%
1.109	1.600	0.49119	30.700%
1.109	1.600	0.49139	30.712%
1.122	1.600	0.47782	29.864%
1.654	1.600	0.05417	-3.385%
1.080	1.600	0.52006	32.504%
1.613	1.600	0.01329	-0.830%
1.629	1.600	0.02923	-1.827%
1.645	1.600	0.04492	-2.807%
1.590	1.600	0.01045	0.653%
1.562	1.600	0.03824	2.390%
1.548	1.600	0.05232	3.270%
1.537	1.600	0.06313	3.945%
1.658	1.600	0.05843	-3.652%
1.677	1.600	0.07660	-4.788%
1.647	1.600	0.04675	-2.922%
1.680	1.600	0.07982	-4.989%
1.662	1.600	0.06212	-3.883%
1.697	1.600	0.09739	-6.087%
1.694	1.600	0.09417	-5.886%
1.765	1.600	0.16480	-10.300%
1.091	1.600	0.50869	31.793%
1.683	1.600	0.08341	-5.213%
1.694	1.600	0.09413	-5.883%
1.108	1.600	0.49162	30.726%
1.107	1.600	0.49284	30.802%
1.097	1.600	0.50306	31.441%
1.657	1.600	0.05711	-3.569%
1.095	1.600	0.50499	31.562%
1.083	1.600	0.51690	32.306%
1.667	1.600	0.06667	-4.167%
1.655	1.600	0.05454	-3.409%
1.649	1.600	0.04936	-3.085%
1.081	1.600	0.51863	32.414%
1.084	1.600	0.51563	32.227%
1.082	1.600	0.51828	32.392%
1.093	1.600	0.50744	31.715%
1.089	1.600	0.51096	31.935%
1.079	1.600	0.52075	32.547%
1.092	1.600	0.50808	31.755%
1.682	1.600	0.08203	-5.127%
1.080	1.600	0.51956	32.473%
1.073	1.600	0.52679	32.924%
1.698	1.600	0.09789	-6.118%
1.106	1.600	0.49399	30.874%
1.124	1.600	0.47620	29.763%
1.123	1.600	0.47684	29.803%
1.112	1.600	0.48753	30.471%
1.105	1.600	0.49542	30.964%
1.113	1.600	0.48689	30.430%
1.102	1.600	0.49771	31.107%
1.108	1.600	0.49194	30.746%
1.664	1.600	0.06381	-3.988%
1.672	1.600	0.07170	-4.481%
1.112	1.600	0.48845	30.528%
1.121	1.600	0.47859	29.912%
