est_dist(m)	true_dist(m)	squared_error(m^2)
1.040	1.600	0.55969
1.041	1.600	0.55900
1.024	1.600	0.57580
1.021	1.600	0.57935
1.183	1.600	0.41697
1.230	1.600	0.36976
1.310	1.600	0.29026
1.298	1.600	0.30222
1.296	1.600	0.30441
1.258	1.600	0.34181
1.254	1.600	0.34616
1.220	1.600	0.38020
1.233	1.600	0.36705
1.194	1.600	0.40647
1.221	1.600	0.37909
1.277	1.600	0.32282
1.275	1.600	0.32491
1.262	1.600	0.33764
1.294	1.600	0.30649
1.288	1.600	0.31232
1.324	1.600	0.27592
1.318	1.600	0.28175
1.293	1.600	0.30720
1.353	1.600	0.24732
1.373	1.600	0.22665
1.448	1.600	0.15166
1.438	1.600	0.16189
1.430	1.600	0.17010
1.456	1.600	0.14425
1.532	1.600	0.06824
1.540	1.600	0.05983
1.507	1.600	0.09291
1.531	1.600	0.06898
1.526	1.600	0.07435
1.555	1.600	0.04478
1.561	1.600	0.03892
1.564	1.600	0.03621
1.552	1.600	0.04834
1.600	1.600	0.00006
1.619	1.600	0.01922
1.603	1.600	0.00339
1.631	1.600	0.03067
1.630	1.600	0.02966
1.637	1.600	0.03660
1.642	1.600	0.04248
1.674	1.600	0.07432
1.667	1.600	0.06717
1.709	1.600	0.10931
1.706	1.600	0.10648
1.700	1.600	0.10016
1.704	1.600	0.10363
1.712	1.600	0.11162
1.715	1.600	0.11471
1.703	1.600	0.10336
1.704	1.600	0.10361
1.688	1.600	0.08793
1.698	1.600	0.09812
1.745	1.600	0.14538
1.750	1.600	0.14950
1.751	1.600	0.15071
1.747	1.600	0.14744
1.756	1.600	0.15613
1.654	1.600	0.05417
1.613	1.600	0.01329
1.629	1.600	0.02923
1.645	1.600	0.04492
1.590	1.600	0.01045
1.562	1.600	0.03824
1.548	1.600	0.05232
1.537	1.600	0.06313
1.658	1.600	0.05843
1.677	1.600	0.07660
1.647	1.600	0.04675
1.680	1.600	0.07982
1.662	1.600	0.06212
1.697	1.600	0.09739
1.694	1.600	0.09417
1.765	1.600	0.16480
1.683	1.600	0.08341
1.694	1.600	0.09413
1.657	1.600	0.05711
1.667	1.600	0.06667
1.655	1.600	0.05454
1.649	1.600	0.04936
1.682	1.600	0.08203
1.698	1.600	0.09789
1.664	1.600	0.06381
1.672	1.600	0.07170
1.664	1.600	0.06433
1.677	1.600	0.07667
1.678	1.600	0.07785
1.665	1.600	0.06512
1.661	1.600	0.06114
1.674	1.600	0.07365
1.687	1.600	0.08659
1.683	1.600	0.08349
1.669	1.600	0.06934
1.701	1.600	0.10135
1.732	1.600	0.13171
1.718	1.600	0.11830
1.722	1.600	0.12162
1.695	1.600	0.09468
1.714	1.600	0.11375
1.731	1.600	0.13100
1.702	1.600	0.10205
1.705	1.600	0.10473
1.690	1.600	0.08989
1.689	1.600	0.08936
1.702	1.600	0.10166
1.700	1.600	0.10041
1.693	1.600	0.09296
1.697	1.600	0.09664
1.724	1.600	0.12410
1.695	1.600	0.09513
1.720	1.600	0.11990
1.702	1.600	0.10179
1.694	1.600	0.09402
1.690	1.600	0.09006
1.719	1.600	0.11946
1.658	1.600	0.05754
1.680	1.600	0.08014
1.710	1.600	0.11046
1.723	1.600	0.12304
1.726	1.600	0.12620
1.736	1.600	0.13569
1.730	1.600	0.12968
1.741	1.600	0.14070
1.704	1.600	0.10441
1.695	1.600	0.09547
1.715	1.600	0.11492
1.718	1.600	0.11846
1.699	1.600	0.09875
1.698	1.600	0.09826
1.708	1.600	0.10822
1.664	1.600	0.06358
1.669	1.600	0.06865
1.670	1.600	0.06995
1.658	1.600	0.05758
1.643	1.600	0.04301
1.609	1.600	0.00853
1.645	1.600	0.04454
1.633	1.600	0.03270
1.619	1.600	0.01912
1.615	1.600	0.01527
1.621	1.600	0.02067
1.650	1.600	0.04985
1.671	1.600	0.07098
1.672	1.600	0.07200
1.666	1.600	0.06646
1.680	1.600	0.07961
1.655	1.600	0.05490
1.653	1.600	0.05287
1.630	1.600	0.02959
1.681	1.600	0.08058
1.640	1.600	0.04024
1.683	1.600	0.08334
1.704	1.600	0.10439
1.709	1.600	0.10877
1.681	1.600	0.08114
1.683	1.600	0.08302
1.687	1.600	0.08671
1.700	1.600	0.10047
1.680	1.600	0.07982
1.671	1.600	0.07138
1.709	1.600	0.10860
1.720	1.600	0.11993
1.696	1.600	0.09642
1.640	1.600	0.03966
1.669	1.600	0.06938
1.679	1.600	0.07946
1.680	1.600	0.08048
1.714	1.600	0.11363
1.713	1.600	0.11329
1.701	1.600	0.10103
1.686	1.600	0.08647
1.737	1.600	0.13733
1.703	1.600	0.10263
1.665	1.600	0.06455
1.665	1.600	0.06484
1.699	1.600	0.09871
1.676	1.600	0.07623
1.607	1.600	0.00706
1.597	1.600	0.00275
1.640	1.600	0.04017
